lang_id,code,name,percent,official
1,AFG,Dari,50,yes
2,AFG,Pashto,35,yes
3,AFG,Turkic,11,no
4,AFG,Other,4,no
5,ALB,Albanian,98.8,yes
6,ALB,Greek,0.5,no
7,ALB,Other,0.6,no
8,ALB,unspecified,0.1,no
9,DZA,Arabic,,yes
10,DZA,French,,no
11,DZA,Berber or Tamazight,,yes
12,DZA,Shawiya,,no
13,DZA,Mzab,,no
14,DZA,Tuareg,,no
15,ASM,Samoan,88.6,no
16,ASM,English,3.9,no
17,ASM,Tongan,2.7,no
18,ASM,Other,3,no
19,ASM,Other,1.8,no
20,AND,Catalan,,yes
21,AND,French,,no
22,AND,Castilian,,no
23,AND,Portuguese,,no
24,AGO,Portuguese,71.2,yes
25,AGO,Umbundu,23,no
26,AGO,Kikongo,8.2,no
27,AGO,Kimbundu,7.8,no
28,AGO,Chokwe,6.5,no
29,AGO,Nhaneca,3.4,no
30,AGO,Nganguela,3.1,no
31,AGO,Fiote,2.4,no
32,AGO,Kwanhama,2.3,no
33,AGO,Muhumbi,2.1,no
34,AGO,Luvale,1,no
35,AGO,Other,3.6,no
36,AIA,English,,yes
37,ATG,English,,yes
38,ATG,Antiguan creole,,no
39,ARG,Spanish,,yes
40,ARG,Italian,,no
41,ARG,English,,no
42,ARG,German,,no
43,ARG,French,,no
44,ARG,indigenous,,no
45,ARM,Armenian,97.9,yes
46,ARM,Kurdish,1,no
47,ARM,Other,1,no
48,ABW,Papiamento,69.4,yes
49,ABW,Spanish,13.7,no
50,ABW,English,7.1,no
51,ABW,Dutch,6.1,yes
52,ABW,Chinese,1.5,no
53,ABW,Other,1.7,no
54,ABW,unspecified,0.4,no
55,AUS,English,76.8,no
56,AUS,Mandarin,1.6,no
57,AUS,Italian,1.4,no
58,AUS,Arabic,1.3,no
59,AUS,Greek,1.2,no
60,AUS,Cantonese,1.2,no
61,AUS,Vietnamese,1.1,no
62,AUS,Other,10.4,no
63,AUS,unspecified,5,no
64,AUT,German,88.6,yes
65,AUT,Turkish,2.3,no
66,AUT,Serbian,2.2,no
67,AUT,Croatian,1.6,yes
68,AUT,Other,5.3,no
69,AZE,Azerbaijani,92.5,yes
70,AZE,Russian,1.4,no
71,AZE,Armenian,1.4,no
72,AZE,Other,4.7,no
73,BHS,English,,yes
74,BHS,Creole,,no
75,BHR,Arabic,,yes
76,BHR,English,,no
77,BHR,Farsi,,no
78,BHR,Urdu,,no
79,BGD,Bangla,98.8,yes
80,BGD,Other,1.2,no
81,BRB,English,,yes
82,BRB,Bajan,,no
83,BLR,Russian,70.2,yes
84,BLR,Belarusian,23.4,yes
85,BLR,Other,3.1,no
86,BLR,unspecified,3.3,no
87,BEL,Dutch,60,yes
88,BEL,French,40,yes
89,BEL,German,1,yes
90,BLZ,English,62.9,yes
91,BLZ,Spanish,56.6,no
92,BLZ,Creole,44.6,no
93,BLZ,Maya,10.5,no
94,BLZ,German,3.2,no
95,BLZ,Garifuna,2.9,no
96,BLZ,Other,1.8,no
97,BLZ,unknown,0.3,no
98,BLZ,none,0.2,no
99,BEN,French,,yes
100,BEN,Fon and Yoruba,,no
101,BEN,Tribal Languages,,no
102,BMU,English,,yes
103,BMU,Portuguese,,no
104,BTN,Sharchhopka,28,no
105,BTN,Dzongkha,24,yes
106,BTN,Lhotshamkha,22,no
107,BTN,Other,26,no
108,BOL,Spanish,60.7,yes
109,BOL,Quechua,21.2,yes
110,BOL,Aymara,14.6,yes
111,BOL,Foreign Languages,2.4,no
112,BOL,Guarani,0.6,yes
113,BOL,Other,0.4,no
114,BOL,none,0.1,no
115,BIH,Bosnian,52.9,yes
116,BIH,Serbian,30.8,yes
117,BIH,Croatian,14.6,yes
118,BIH,Other,1.6,no
119,BIH,No Answer,0.2,no
120,BWA,Setswana,77.3,no
121,BWA,Sekalanga,7.4,no
122,BWA,Shekgalagadi,3.4,no
123,BWA,English,2.8,yes
124,BWA,Zezuru,2,no
125,BWA,Sesarwa,1.7,no
126,BWA,Sembukushu,1.6,no
127,BWA,Ndebele,1,no
128,BWA,Other,2.8,no
129,BRA,Portuguese,,yes
130,BRN,Malay,,yes
131,BRN,English,,no
132,BRN,Chinese,,no
133,BGR,Bulgarian,76.8,yes
134,BGR,Turkish,8.2,no
135,BGR,Romani,3.8,no
136,BGR,Other,0.7,no
137,BGR,unspecified,10.5,no
138,BFA,French,,yes
139,BFA,Sudanic family,90,no
140,MMR,Burmese,,yes
141,BDI,Kirundi,38.8,yes
142,BDI,French,0.3,yes
143,BDI,Swahili,0.2,no
144,BDI,English,0.06,yes
145,BDI,Other,3.7,no
146,BDI,unspecified,56.9,no
147,KHM,Khmer,96.3,yes
148,KHM,Other,3.7,no
149,CMR,Other,,no
150,CMR,English,,yes
151,CMR,French,,yes
152,CAN,English,58.7,yes
153,CAN,French,22,yes
154,CAN,Punjabi,1.4,no
155,CAN,Italian,1.3,no
156,CAN,Spanish,1.3,no
157,CAN,German,1.3,no
158,CAN,Cantonese,1.2,no
159,CAN,Tagalog,1.2,no
160,CAN,Arabic,1.1,no
161,CAN,Other,10.5,no
162,CYM,English,90.9,yes
163,CYM,Spanish,4,no
164,CYM,Filipino,3.3,no
165,CYM,Other,1.7,no
166,CYM,unspecified,0.1,no
167,CAF,French,,yes
168,CAF,Sangho,,no
169,CAF,tribal,,no
170,TCD,French,,yes
171,TCD,Arabic,,yes
172,TCD,Sara,,no
173,TCD,Other,,no
174,CHL,Spanish,99.5,yes
175,CHL,English,10.2,no
176,CHL,indigenous,1,no
177,CHL,Other,2.3,no
178,CHL,unspecified,0.2,no
179,CHN,Mandarin,,yes
180,CHN,Yue,,no
181,CHN,Wu,,no
182,CHN,Minbei,,no
183,CHN,Minnan,,no
184,CHN,Xiang,,no
185,CHN,Gan,,no
186,CHN,Hakka,,no
187,CHN,Other,,no
188,CXR,English,,yes
189,CXR,Chinese,,no
190,CXR,Malay,,no
191,CCK,Malay,,no
192,CCK,English,,no
193,COL,Spanish,,yes
194,COM,Arabic,,yes
195,COM,French,,yes
196,COM,Shikomoro,,yes
197,COD,French,,yes
198,COD,Lingala,,no
199,COD,Kingwana,,no
200,COD,Kikongo,,no
201,COD,Tshiluba,,no
202,COG,French,,yes
203,COG,Lingala,,no
204,COG,Other,,no
205,COK,English,86.4,yes
206,COK,Rarotongan,76.2,yes
207,COK,Other,8.3,no
208,CRI,Spanish,,yes
209,CRI,English,,no
210,CIV,French,,yes
211,CIV,Other,,no
212,HRV,Croatian,95.6,yes
213,HRV,Serbian,1.2,no
214,HRV,Other,3,no
215,HRV,unspecified,0.2,no
216,CUB,Spanish,,yes
